time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1976-02-22T08:09:22.300Z,-18.354,-65.197,41,5.3,mb,,,,,us,usp0000f5u,2022-04-27T17:17:29.137Z,"16 km S of Aiquile, Bolivia",earthquake,,,,,reviewed,us,us
1976-05-25T18:26:44.400Z,-17.774,-68.715,196,3.9,mb,,,,,us,usp0000ghq,2014-11-06T23:21:35.417Z,"31 km WNW of Curahuara de Carangas, Bolivia",earthquake,,,,,reviewed,us,us
1976-07-24T13:01:41.500Z,-20.709,-66.652,247,4.1,mb,,,,,us,usp0000hgt,2014-11-06T23:21:36.339Z,"32 km SSE of Uyuni, Bolivia",earthquake,,,,,reviewed,us,us
1976-08-30T05:12:13.600Z,-18.927,-67.22,253,4.9,mb,,,,,us,usp0000j40,2014-11-06T23:21:36.952Z,"47 km W of Challapata, Bolivia",earthquake,,,,,reviewed,us,us
1976-09-06T23:58:02.200Z,-21.327,-66.301,188,5.5,mb,,,,,us,usp0000j8u,2014-11-06T23:21:37.076Z,"44 km S of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
1976-09-18T00:21:45.200Z,-20.354,-68.347,134,4.6,mb,,,,,us,usp0000jfp,2014-11-06T23:21:37.278Z,"147 km W of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1976-11-25T22:36:31.600Z,-21.504,-67.166,266,5.1,mb,,,,,us,usp0000kfw,2014-11-06T23:21:38.366Z,"116 km WSW of Atocha, Bolivia",earthquake,,,,,reviewed,us,us
1976-12-04T05:06:37.900Z,-20.471,-68.501,78,5.2,mb,,,,,us,usp0000kmc,2014-11-06T23:21:38.476Z,"164 km W of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1976-12-04T12:32:29.600Z,-20.381,-68.531,72,5.6,mb,,,,,us,usp0000kmh,2022-04-27T16:42:24.895Z,"167 km W of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1976-12-09T02:47:34.200Z,-20.515,-68.415,73,4.9,mb,,,,,us,usp0000kpc,2014-11-06T23:21:38.526Z,"156 km W of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1976-12-17T20:23:06.200Z,-20.912,-68.456,57,5.6,mb,,,,,us,usp0000kt9,2022-04-27T16:44:15.665Z,"172 km WSW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1977-01-03T08:56:13.500Z,-20.716,-68.553,136,4.9,mb,,,,,us,usp0000m1u,2014-11-06T23:21:39.212Z,"175 km WSW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1977-01-14T05:32:31.300Z,-20.487,-67.892,152,4.9,mb,,,,,us,usp0000m5w,2014-11-06T23:21:39.324Z,"102 km WSW of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
1977-02-28T20:12:13.000Z,-20.18,-68.422,173,4.7,mb,,,,,us,usp0000mrz,2014-11-06T23:21:40.021Z,"156 km W of Colchani, Bolivia",earthquake,,,,,reviewed,us,us
